Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv proizvoda;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA
GYV447;gyv447;;GYV447__C14,GYV447__C16;Default;Eyewear;ROSE GOLD C14,CRNA C16;;Dioptrijski okvir;GENNY;Ženske;Cat Eye;ROSE GOLD C14,CRNA C16;M;Metal;205;57;50;19;140;145;GYV447
GYV447-M-ROSE-GOLD-C14;gyv447-m-rose-gold-c14;C14;GYV447__C14;Default;Eyewear;ROSE GOLD;zlatna;Dioptrijski okvir;GENNY;Ženske;Cat Eye;ROSE GOLD C14,CRNA C16;M;Metal;205;57;50;19;140;145;GYV447
GYV447-M-CRNA-C16;gyv447-m-crna-c16;C16;GYV447__C16;Default;Eyewear;CRNA;crna;Dioptrijski okvir;GENNY;Ženske;Cat Eye;ROSE GOLD C14,CRNA C16;M;Metal;205;57;50;19;140;145;GYV447
GVG006;gvg006;;GVG006__C12;Default;Eyewear;ROSE GOLD C12;;Dioptrijski okvir;GENNY;Ženske;Cat Eye;ROSE GOLD C12;S;Metal;140;54;45;18;132;135;GVG006
GVG006-S-ROSE-GOLD-C12;gvg006-s-rose-gold-c12;C12;GVG006__C12;Default;Eyewear;ROSE GOLD;zlatna;Dioptrijski okvir;GENNY;Ženske;Cat Eye;ROSE GOLD C12;S;Metal;140;54;45;18;132;135;GVG006
GYV446;gyv446;;GYV446__C16;Default;Eyewear;ZLATNA/CRNA C16;;Dioptrijski okvir;GENNY;Ženske;Nepravilan;ZLATNA/CRNA C16;M;Metal;205;57;50;18;140;143;GYV446
GYV446-M-ZLATNA-CRNA-C16;gyv446-m-zlatna-crna-c16;C16;GYV446__C16;Default;Eyewear;ZLATNA/CRNA;zlatna;Dioptrijski okvir;GENNY;Ženske;Nepravilan;ZLATNA/CRNA C16;M;Metal;205;57;50;18;140;143;GYV446
GYV444;gyv444;;GYV444__C03,GYV444__C16,GYV444__C00;Default;Eyewear;TRANSPARENTNA C03,HAVANA C16,CRNA C00;;Dioptrijski okvir;GENNY;Ženske;Cat Eye;TRANSPARENTNA C03,HAVANA C16,CRNA C00;M;Acetat;210;53;48;18;142;143;GYV444
GYV444-M-TRANSPARENTNA-C03;gyv444-m-transparentna-c03;C03;GYV444__C03;Default;Eyewear;TRANSPARENTNA;prozirna;Dioptrijski okvir;GENNY;Ženske;Cat Eye;TRANSPARENTNA C03,HAVANA C16,CRNA C00;M;Acetat;210;53;48;18;142;143;GYV444
GYV444-M-HAVANA-C16;gyv444-m-havana-c16;C16;GYV444__C16;Default;Eyewear;HAVANA;smeđa;Dioptrijski okvir;GENNY;Ženske;Cat Eye;TRANSPARENTNA C03,HAVANA C16,CRNA C00;M;Acetat;210;53;48;18;142;143;GYV444
